====== Exif Identifiers ======

^Exif Identifier^Type^Description^
 | exif_flash_energy | TEXT | exif tag Flash Energy |
 | exif_flashpix_version | TEXT | exif tag Flashpix Version |
 | exif_fnumber | TEXT | exif tag FNumber |
 | exif_focal_length | TEXT | exif tag Focal Length |
 | exif_focal_length_in_3_5mm_format | TEXT | exif tag Focal Length In 3 5mm Format |
 | exif_focal_plane_resolution_unit | TEXT | exif tag Focal Plane Resolution Unit |
 | exif_focal_plane_xresolution | TEXT | exif tag Focal Plane XResolution |
 | exif_focal_plane_yresolution | TEXT | exif tag Focal Plane YResolution |
 | exif_free_byte_counts | TEXT | exif tag Free Byte Counts |
 | exif_free_offsets | TEXT | exif tag Free Offsets |
 | exif_gain_control | TEXT | exif tag Gain Control |
 | exif_gamma | TEXT | exif tag Gamma |
 | exif_gdalmetadata | TEXT | exif tag GDALMetadata |
 | exif_gdalno_data | TEXT | exif tag GDALNo Data |
 | exif_geo_tiff_ascii_params | TEXT | exif tag Geo Tiff Ascii Params |
 | exif_geo_tiff_directory | TEXT | exif tag Geo Tiff Directory |
 | exif_geo_tiff_double_params | TEXT | exif tag Geo Tiff Double Params |
 | exif_global_parameters_ifd | TEXT | exif tag Global Parameters IFD |
 | exif_gpsinfo | TEXT | exif tag GPSInfo |
 | exif_gray_response_curve | TEXT | exif tag Gray Response Curve |
 | exif_gray_response_unit | TEXT | exif tag Gray Response Unit |
 | exif_halftone_hints | TEXT | exif tag Halftone Hints |
 | exif_hcusage | TEXT | exif tag HCUsage |
 | exif_height_resolution | TEXT | exif tag Height Resolution |
 | exif_host_computer | TEXT | exif tag Host Computer |
 | exif_icc__profile | TEXT | exif tag ICC_ Profile |
 | exif_image_byte_count | TEXT | exif tag Image Byte Count |
 | exif_image_color_indicator | TEXT | exif tag Image Color Indicator |
 | exif_image_color_value | TEXT | exif tag Image Color Value |
 | exif_image_data_discard | TEXT | exif tag Image Data Discard |
 | exif_image_depth | TEXT | exif tag Image Depth |
 | exif_image_description | TEXT | exif tag Image Description |
 | exif_image_height | TEXT | exif tag Image Height |
 | exif_image_history | TEXT | exif tag Image History |
 | exif_image_id | TEXT | exif tag Image ID |
